"","DATE","AWND","TAVG","PRCP","SNOW"
"2017-04-21",2017-04-21,6.4,7.1,13,0
"2017-04-22",2017-04-22,4,6.6,1.3,0
"2017-04-23",2017-04-23,5.3,8.6,0,0
"2017-04-24",2017-04-24,3.8,11.8,0,0
"2017-04-25",2017-04-25,7.1,9.3,22.6,0
"2017-04-26",2017-04-26,4.5,10.1,14.2,0
"2017-04-27",2017-04-27,3,11.5,0,0
"2017-04-28",2017-04-28,3.4,17.2,0.3,0
"2017-04-29",2017-04-29,5.9,22.6,0,0
"2017-04-30",2017-04-30,5.2,12.8,0.3,0
"2017-05-01",2017-05-01,4.1,8.3,0,0
"2017-05-02",2017-05-02,3.6,9.7,4.8,0
"2017-05-03",2017-05-03,6.6,13.6,0,0
"2017-05-04",2017-05-04,5.3,10.7,0,0
"2017-05-05",2017-05-05,5.1,9.4,16.3,0
"2017-05-06",2017-05-06,4.8,13.4,2.5,0
"2017-05-07",2017-05-07,7,14.2,0,0
"2017-05-08",2017-05-08,6,10.1,0,0
"2017-05-09",2017-05-09,3.3,8.1,0,0
"2017-05-10",2017-05-10,4.1,10,0,0
"2017-05-11",2017-05-11,4.6,10.3,0,0
"2017-05-12",2017-05-12,3.7,9.7,0.3,0
"2017-05-13",2017-05-13,5.3,9.3,0.5,0
"2017-05-14",2017-05-14,8,8.8,24.1,0
"2017-05-15",2017-05-15,6.4,10.8,1.8,0
"2017-05-16",2017-05-16,5.5,18.3,0,0
"2017-05-17",2017-05-17,4.8,24,0,0
"2017-05-18",2017-05-18,6.6,28.7,1.3,0
"2017-05-19",2017-05-19,7.1,26.8,0.3,0
"2017-05-20",2017-05-20,4.9,14.6,0,0
